Word,Group
schools ,0
t480s ,0
premier ,0
textures ,0
baixar ,0
staff was ,1
bloatware was ,1
boy was ,1
touchpad was ,1
husband was ,1
packaging was ,1
trackpad was ,1
installation was ,1
download was ,1
pricing was ,1
manufacturer was ,1
salesman was ,1
designed ,2
fully capable ,2
right angle ,2
super quick ,3
really cheap ,3
so cheap ,3
as cheap ,3
really lightweight ,3
extremely lightweight ,3
pretty cheap ,3
pretty lightweight ,3
so lightweight ,3
edges ,4
turbo ,4
password ,4
customization ,4
notebook é ,5
notebook ótimo ,5
ótimo notebook ,5
notebook arrived ,5
nice resolution ,6
good resolution ,6
excellent resolution ,6
great resolution ,6
home computing ,7
certain applications ,7
computing ,7
regular usage ,7
daily usage ,7
regular use cases ,7
buying ,8
caps lock ,8
pads ,8
docking ,8
patch ,9
hunt ,9
trigger ,9
sub- ,9
action ,9
hard time ,10
large storage ,10
little memory ,10
little space ,10
low memory ,10
shipping label ,11
fingerprint access ,11
search ,11
surfing ,11
technical stuff ,11
search bar ,11
cables ,12
weather ,12
assistência ,12
nele ,12
large screen size ,13
nice size screen ,13
great screen size ,13
good size screen ,13
same size ,13
good screen size ,13
full size ,13
easily portable ,14
very intuitive ,15
very capable ,15
very pleased ,15
very disappointing ,15
very sharp ,15
very durable ,15
very difficult ,15
very inexpensive ,15
very handy ,15
very versatile ,15
punch ,16
recomendaria ,16
netbook ,16
online school ,17
school ,17
school work ,17
college school ,17
school needs ,17
price point ,18
bargain price ,18
incredible price ,18
a ,19
dongle ,19
inputs ,19
hardware ,20
day typing ,20
single day ,20
mostly plastic ,21
plastic shell ,21
replacement battery ,22
battery issues ,22
internal battery ,22
battery had ,22
battery charge ,22
battery capacity ,22
battery issue ,22
% battery ,22
long battery ,22
battery replacement ,22
battery charger ,22
almost perfect ,23
perfect solution ,23
breaks ,24
sports ,24
devolução ,24
screen hinges ,25
glossy screen ,25
screen kept ,25
screen flicker ,25
screen portion ,25
screen area ,25
glare screen ,25
screen clarity ,25
detachable screen ,25
screen cracked ,25
mini sd card ,26
micro sd card ,26
troubleshoot ,27
dias ,28
check ,28
functioning ,28
cellphone ,28
anos ,28
upgrades ,28
software was ,29
system was ,29
sized keyboard ,30
keyboard dock ,30
keyboard backlight ,30
lit keyboard ,30
